frequency,real,imag
1000000.0,0.9962616846661793,-0.04981308423330897
1098196.392785571,0.9954943529754854,-0.05466241537380421
1196392.7855711423,0.9946563254342408,-0.0594999825936114
1294589.1783567134,0.9937479017368981,-0.06432476398016394
1392785.5711422847,0.9927694061176479,-0.06913574521560775
1490981.9639278557,0.991721187081835,-0.07393192015920694
1589178.3567134268,0.9906036171181313,-0.07871229142030843
1687374.7494989978,0.9894170923918915,-0.08347587092123973
1785571.142284569,0.9881620324201396,-0.08822168044953349
1883767.5350701404,0.9868388797286666,-0.09294875219889245
1981963.9278557114,0.9854480994917342,-0.09765612929832916
2080160.3206412825,0.9839901791549108,-0.10234286632893762
2178356.7134268535,0.9824656280415822,-0.10700802982777553
2276553.106212425,0.9808749769436975,-0.11165069877836077
2374749.4989979956,0.9792187776973423,-0.11626996508730968
2472945.891783567,0.9774976027437288,-0.12086493404666948
2571142.284569138,0.9757120446762294,-0.12543472478152326
2669338.6773547092,0.9738627157740792,-0.12997847068247229
2767535.0701402808,0.9719502475233975,-0.13449531982262644
2865731.4629258513,0.9699752901261861,-0.13898443535876212
2963927.855711423,0.9679385119979708,-0.14344499591633253
3062124.248496994,0.965840599254768,-0.1478761959580446
3160320.641282565,0.9636822551900623,-0.15227724613574434
3258517.034068136,0.9614641997424896,-0.15664737362537956
3356713.426853707,0.9591871689549212,-0.16098582244483894
3454909.8196392786,0.956851914425657,-0.16529185375449224
3553106.2124248496,0.9544592027524321,-0.16956474614028677
3651302.6052104207,0.95200981496994,-0.17380379587928163
3749498.9979959917,0.9495045459815855,-0.17800831718752974
3847695.390781563,0.9469442039861682,-0.18217764245024473
3945891.7835671343,0.9443296099001999,-0.18631112243421777
4044088.1763527053,0.94166159677656,-0.19040812648247474
4142284.5691382764,0.938941009220174,-0.19446804269119233
4240480.961923847,0.9361687028014114,-0.19849027806891645
4338677.3547094185,0.9333455434678765,-0.20247425867815153
4436873.74749499,0.9304724069552671,-0.206419429759415
4535070.1402805615,0.9275501781979626,-0.2103252558378747
4633266.533066132,0.9245797507399893,-0.21419122081271094
4731462.925851703,0.9215620261470071,-0.2180168280293671
4829659.318637274,0.9184979134199407,-0.22180160033487545
4927855.711422846,0.9153883284108688,-0.22554508011646557
5026052.104208417,0.9122341932417717,-0.22924682932368373
5124248.496993988,0.9090364357267201,-0.2329064294742709
5222444.889779559,0.9057959887980717,-0.23652348164406564
5320641.28256513,0.9025137899372274,-0.24009760644121625
5418837.675350701,0.8991907806104835,-0.24362844396500477
5517034.068136272,0.8958279057104908,-0.24711565374959732
5615230.460921844,0.8924261130038236,-0.25055891469305747
5713426.853707414,0.8889863525851347,-0.25395792497196573
5811623.246492986,0.885509576338356,-0.2573124019420072
5909819.639278557,0.8819967374053884,-0.26062208202489884
6008016.032064128,0.878448789662696,-0.2638867205820403
6106212.424849699,0.8748666872062099,-0.2671060917752827
6204408.81763527,0.8712513838449175,-0.27027998841521683
6302605.210420841,0.8676038326035008,-0.2734082217973958
6400801.603206413,0.8639249852343582,-0.27649062152690784
6498997.995991983,0.8602157917393302,-0.2795270353317282
6597194.388777555,0.8564771999014265,-0.28251732886528014
6695390.781563126,0.8527101548268318,-0.2854613854986418
6793587.174348697,0.8489155984974414,-0.2883591061028383
6891783.567134269,0.8450944693341713,-0.2912104088216648
6989979.959919839,0.8412477017712485,-0.2940152288354824
7088176.352705411,0.8373762258416833,-0.2967735181164362
7186372.745490981,0.8334809667740953,-0.29948524517554165
7284569.138276553,0.8295628446010516,-0.3021503948020864
7382765.531062124,0.8256227737790477,-0.3047689677957927
7480961.923847695,0.8216616628202569,-0.3073409806921863
7579158.316633266,0.8176804139361374,-0.3098664654816104
7677354.709418837,0.8136799226929851,-0.31234546932232715
7775551.1022044085,0.8096610776794876,-0.3147780542481375
7873747.49498998,0.8056247601863321,-0.31716429687095177
7971943.887775551,0.801571843897884,-0.3195042880787357
8070140.280561122,0.7975031945959606,-0.3217981327292519
8168336.673346693,0.7934196698756846,-0.32404594934000897
8266533.066132264,0.7893221188734004,-0.3262478697748273
8364729.458917836,0.7852113820066225,-0.3284040389274191
8462925.851703405,0.7810882907259574,-0.3305146144023765
8561122.244488977,0.7769536672789449,-0.3325797661939532
8659318.637274548,0.7728083244857324,-0.33459967636301097
8757515.03006012,0.768653065526501,-0.336574538712506
8855711.422845691,0.764488683740535,-0.33850455846186617
8953907.815631263,0.760315962436824,-0.3403899519206142
9052104.208416834,0.756135674716071,-0.3422309461615725
9150300.601202404,0.751948583303974,-0.34402777869398243
9248496.993987976,0.7477554403956308,-0.34578069713685733
9346693.386773545,0.7435569875109178,-0.34748995889287776
9444889.779559119,0.7393539553606742,-0.349155830823132
9543086.172344688,0.7351470637235237,-0.35077858892298786
9641282.56513026,0.7309370213331496,-0.352358517999377
9739478.957915831,0.7267245257758426,-0.35389591134975895
9837675.350701403,0.7225102633981197,-0.35539107044302304
9935871.743486974,0.7182949092242253,-0.3568443046025761
10034068.136272544,0.714079126883297,-0.3582559306918505
10132264.529058116,0.709863568545997,-0.35962627280246096
10230460.921843687,0.7056488748703876,-0.36095566194522327
10328657.314629259,0.7014356749568359,-0.3622444357442417
10426853.707414828,0.6972245863117214,-0.36349293813425715
10525050.1002004,0.6930162148197256,-0.3647015190614427
10623246.492985971,0.6888111547244726,-0.36587053418781856
10721442.885771543,0.6846099886172912,-0.3670003445994497
10819639.278557114,0.6804132874338659,-0.36809131651858135
10917835.671342684,0.6762216104585449,-0.36914382101985493
11016032.064128255,0.6720355053360689,-0.3701582337507386
