"Freq [GHz]","IWaveTheta [deg]","IWavePhi [deg]","dB(MonostaticRCSTheta) []"
10,90,110,9.17283348400953
10,90,111,13.8163633687934
10,90,112,0.39222548311285
10,90,113,7.49363829447435
10,90,114,11.3401919311738
10,90,115,10.6703148516164
10,90,116,2.59609621782844
10,90,117,11.7342414949018
10,90,118,12.7282388945883
10,90,119,-3.74302140650913
10,90,120,11.5038497587826
10,90,121,2.54661770206252
10,90,122,7.94874008776122
10,90,123,7.20941722141089
10,90,124,13.54139867044
10,90,125,5.92710197973603
10,90,126,8.47134551152357
10,90,127,4.61648365415301
10,90,128,-37.2278002439518
10,90,129,12.0554803820413
10,90,130,4.14892510827493
10,90,131,11.4316392401424
10,90,132,12.9833696432484
10,90,133,-9.47830980039301
10,90,134,1.41449222296814
10,90,135,12.5775838383945
10,90,136,4.66650710299546
10,90,137,12.935952090599
10,90,138,12.7918691418897
10,90,139,14.1681426642502
10,90,140,10.5122694601353
10,90,141,-4.37728827287531
10,90,142,11.59521854349
10,90,143,16.7431950879931
10,90,144,15.0360032460651
10,90,145,15.1328978694929
10,90,146,7.14394188131726
10,90,147,5.91811733547502
10,90,148,11.8984843682952
10,90,149,9.88042096538185
10,90,150,3.46628369575039
10,90,151,13.5624426057239
10,90,152,14.9944674698999
10,90,153,11.6225312226086
10,90,154,10.2188119562444
10,90,155,12.4134047249809
10,90,156,9.62831312235361
10,90,157,10.9545653014818
10,90,158,7.55330801959442
10,90,159,2.62039672513601
10,90,160,2.17903495238784
10,90,161,7.12649251322657
10,90,162,5.08032739345742
10,90,163,12.0556231191227
10,90,164,10.9989117393228
10,90,165,7.43969513411417
10,90,166,8.77538963157054
10,90,167,2.65999439421637
10,90,168,4.12161568744457
10,90,169,-4.65904934216142
10,90,170,3.85025975926265
10,90,171,5.69998238317035
10,90,172,8.37126308054308
10,90,173,7.36316039416029
10,90,174,-2.61514796472592
10,90,175,-6.62938412733682
10,90,176,-2.83858565962213
10,90,177,1.97363559558632
10,90,178,2.37837220180712
10,90,179,0.317753266348078
10,90,180,18.9082172928548
10,90,181,-1.55548948154598
10,90,182,12.1651310775017
10,90,183,5.77449668880584
10,90,184,5.63430751567414
10,90,185,3.85605692683306
10,90,186,8.21031620905394
10,90,187,3.41298601842605
10,90,188,7.45271504029986
10,90,189,5.88221391225451
10,90,190,7.04450694752215
10,90,191,-2.44962350691905
10,90,192,3.17281652707206
10,90,193,-3.73339676615991
10,90,194,8.89161828190867
10,90,195,5.00838621795258
10,90,196,11.2905097074507
10,90,197,9.99991743807876
10,90,198,5.44476610498474
10,90,199,8.50291526077865
10,90,200,6.58815209329047
10,90,201,4.5719084276095
10,90,202,5.46211054859644
10,90,203,6.85650728560674
10,90,204,13.1622034655676
10,90,205,12.0935203037002
10,90,206,10.5524635931645
10,90,207,11.3339992941129
10,90,208,14.4150433182811
10,90,209,13.9274537744618
10,90,210,8.09772467041523
10,90,211,13.4371615919056
10,90,212,14.7671359830934
10,90,213,10.2377898998912
10,90,214,2.79317863607299
10,90,215,13.7228076094062
